taxon	functional_group	display_category	ecological_role	signal_source	confidence_score	n_samples	total_reads
S__GCA_018651405.1	Sulfate_reduction_diagenetic	Diagenetic	Diagenetic_SRB	diagenetic_in_situ	0.99	3	844
S__3300025562_1	Sulfate_reduction_diagenetic	Diagenetic	Diagenetic_SRB	diagenetic_in_situ	0.99	2	805
S__3300025649_12	Sediment_heterotroph	Diagenetic	Sediment_resident	benthic_resident	0.85	3	775
S__3300027822_13	Sulfate_reduction_diagenetic	Diagenetic	Diagenetic_SRB	diagenetic_in_situ	0.85	4	736
S__GCF_000013725.1	Methanogenesis_diagenetic	Diagenetic	Diagenetic_methanogen	diagenetic_in_situ	0.99	5	722
S__3300025628_3	Sulfate_reduction_diagenetic	Diagenetic	Diagenetic_SRB	diagenetic_in_situ	0.85	4	687
S__GCA_018651965.1	Sulfate_reduction_diagenetic	Diagenetic	Diagenetic_SRB	diagenetic_in_situ	0.99	3	656
S__GCA_014860225.1	Sulfate_reduction_diagenetic	Diagenetic	Diagenetic_SRB	diagenetic_in_situ	0.85	4	634
S__GCA_014383445.1	Sulfate_reduction_diagenetic	Diagenetic	Diagenetic_SRB	diagenetic_in_situ	0.99	3	627
S__3300025551_2	Sulfate_reduction_diagenetic	Diagenetic	Diagenetic_SRB	diagenetic_in_situ	0.99	4	525
S__3300025573_2	Sulfate_reduction_diagenetic	Diagenetic	Diagenetic_SRB	diagenetic_in_situ	0.99	2	460
S__3300000132_10	Sulfate_reduction_diagenetic	Diagenetic	Diagenetic_SRB	diagenetic_in_situ	0.85	2	349
S__GCA_004028505.1	Sulfate_reduction_diagenetic	Diagenetic	Diagenetic_SRB	diagenetic_in_situ	0.99	2	244
S__GCA_016841385.1	Methanogenesis_diagenetic	Diagenetic	Diagenetic_methanogen	diagenetic_in_situ	0.99	1	171
S__GCA_003486165.1	Sulfate_reduction_diagenetic	Diagenetic	Diagenetic_SRB	diagenetic_in_situ	0.85	1	168
S__3300025516_1	Sulfate_reduction_diagenetic	Diagenetic	Diagenetic_SRB	diagenetic_in_situ	0.85	1	108
