label	core	core_group	y_bp	flowcell	depth_in_core_cm	library_concentration	temp	temp_method	mis	initial	avg_leng_initial	derep	avg_len_derep	sst	age_kyr	MEleiden6	MEleiden5	MEleiden3	MEleiden1	MEleiden2	MEleiden4	MEgrey	ba	ti	ca	zr	rb	sr	al	fe	mn	br	p	si	match_n_points	match_quality	match_min_abs_depth_cm	ba_ti_ratio	ba_ti_log	ba_ti_z	ca_ti_ratio	ca_ti_log	ca_ti_z	zr_rb_ratio	zr_rb_log	zr_rb_z	ti_al_ratio	ti_al_log	ti_al_z	mn_fe_ratio	mn_fe_log	mn_fe_z
LV3003046936	ST8	ST8	22905		139.5	189.42	2.18235490720117	mgca_jonkers_2013	4.8619	152063717	62.8	56886217	63.9	7.62434576717752	22.905	0.0190571133700502	1.22301632066894	1.0341051059816	4.04082740240341	2.03101946150502	1.42708614081114	-0.0309775213736046	15.5848484848485	812.354545454546	2138.22424242424	85.130303030303	40.2757575757576	192.409090909091	9.45757575757576	16458.4727272727	193.445454545455	57.0242424242424	1.50606060606061	47.4424242424243	11	interval	0	0.0191847864606065	-3.95363768588431	-0.655549059533167	2.63213181287466	0.967794093088495	-0.528239963851362	2.11368595290046	0.74843332054709	0.0299164125938016	85.8945850688882	4.45312078938845	0.988137758840712	0.0117535483243778	-4.44360009892685	-0.386988012823666
LV3003046937	ST8	ST8	18598		99.5	100.16	2.93302273038462	mgca_jonkers_2013	4.98412	37032447	66.6	19341245	67.9	7.40669227965178	18.598	-0.360207721104827	0.141776773364441	-0.101379712331646	0.159442454250945	1.10713989274594	0.720513044362258	-0.0230164729398724	17.0181818181818	666.690909090909	2042.77272727273	91.6484848484848	66.0060606060606	206.130303030303	9.4030303030303	15637.1818181818	166.509090909091	74.6515151515152	0.721212121212121	41.5121212121212	11	interval	0	0.0255263444965638	-3.66804424260407	0.179696466313047	3.06404767099378	1.11973681017565	-0.367788951069186	1.38848590579377	0.328213877042529	-1.13165592671958	70.9017080244924	4.26129452386134	0.298944095071359	0.0106482800318588	-4.54235689922511	-0.712710743441716
LV3003046938	ST8	ST8	11169		55	92.71	4.63006993265698	mgca_jonkers_2013	3.65408	135351707	83.8	73358025	85.5	6.64060093364877	11.169	0.441902750526911	-0.433019748857837	3.4304068406148	-0.00929931006480342	0.289123185474382	0.500027606075034	-0.037468519519836	16.9515151515152	549.848484848485	1260.86666666667	115.463636363636	50.2242424242424	187.269696969697	7.46666666666667	13953.3181818182	138.787878787879	71.5454545454546	0.333333333333333	28.6090909090909	11	interval	0	0.0308294295949297	-3.47928553887931	0.731739471711934	2.2931165610361	0.829911836005554	-0.673843176810625	2.29896222999879	0.832457816763441	0.26217727566973	73.6404220779221	4.29919408798781	0.435109699837765	0.00994658596467224	-4.61052590581889	-0.937547867611244
LV3003046939	ST8	ST8	2420		15	137.77		""	3.2262	174832149	79.3	145219212	79.8	6.89400787736814	2.42	-0.314953184927366	-0.400781105721665	2.26801306333772	-0.103667868810702	0.000923683620001463	0.840916485041079	-0.0250233234630843	7.4030303030303	238.212121212121	9137.91818181818	50.9545454545455	13.2333333333333	721.139393939394	5.94545454545455	5556.74545454546	84.8515151515151	78.5757575757576	0	15.4757575757576	11	interval	0	0.0310774710596616	-3.47127212553006	0.755175470696509	38.3604248823305	3.64702632613561	2.30102052004846	3.85046942981452	1.34819507068881	1.68778034514466	40.0662589194699	3.69053455666249	-1.75168307970966	0.0152700021704442	-4.18186501761381	0.476274720743447
LV3003046949	ST8	ST8	22368.6666666667		134.5	140.56	2.65674047729892	mgca_jonkers_2013	4.87262666666667	61245129	56.4	37969700	57.8	7.59724225650273	22.3686666666667	-0.2254693296853	0.411674013077472	0.77363903321472	3.06261199591871	1.6668453937659	1.16529178333729	-0.0204661691873008	17.6606060606061	797.69696969697	2074.59393939394	89.8363636363636	57.7909090909091	205.530303030303	9.76666666666667	16771.6787878788	194.260606060606	71.1575757575758	0.957575757575757	45.9393939393939	11	interval	0	0.0221394924783468	-3.81039227525496	-0.236614062454929	2.6007293724358	0.955791933546777	-0.540914205111227	1.5545068428504	0.441158352469287	-0.819454336427011	81.6754576481539	4.40275356075462	0.807178312329702	0.0115826571995286	-4.45824636860683	-0.435294792094808
LV3003046950	ST8	ST8	18099		94.5	104.24	2.39521562696755	mgca_jonkers_2013	5.01406	54550611	72.2	30319286	73.7	7.38147540241116	18.099	0.617828085193341	0.464673343013905	0.565529458928925	1.74104998270423	1.61797642439527	0.988462744434828	-0.029407209411563	17.2030303030303	645.315151515152	1759.47272727273	97.2030303030303	69.469696969697	183.69696969697	8.75454545454545	15625.3939393939	160.160606060606	76.0484848484849	0.306060606060606	35.6060606060606	11	interval	0	0.0266583393596739	-3.62465325575628	0.306597585646916	2.72653249058482	1.00303065190378	-0.491030272875334	1.39921483097056	0.335911244273396	-1.11037883209886	73.7120110764971	4.30016575846077	0.438600718814731	0.010250020363123	-4.58047558675355	-0.838434976627086
LV3003046952	ST8	ST8	10260		50	116.29	4.62794382549722	mgca_jonkers_2013	3.5408	88430474	83.4	60192917	86	6.52726089941695	10.26	-0.182488814809947	-0.427509670144918	3.16087597929349	-0.0690180636548118	-0.149122751592633	0.374205059231956	-0.0324601027901165	12.3787878787879	432.857575757576	3913.82424242424	85.7060606060606	32.2151515151515	314.80303030303	6.84242424242424	10303.4303030303	130.984848484849	68.2424242424243	0	26.1121212121212	11	interval	0	0.0285978311852873	-3.55442439671403	0.511988646543079	9.04182914108497	2.20186149255198	0.774931177755931	2.66042705295833	0.978486656132377	0.665830802832501	63.2608503100089	4.14726665929853	-0.11073536948942	0.0127127417406148	-4.3651505018107	-0.128243127292913
LV3003046953	ST8	ST8	1521.5		10	82.74		""	3.203925	268907517	82.4	244179416	82.6	7.82527505425364	1.5215	-0.623199756405973	-0.359606961764379	1.68334927432646	0.0304498323347413	0.071712068974532	0.878431589749437	-0.0200299599506063	6.41212121212121	213.881818181818	11561.2696969697	48.7424242424243	11.5181818181818	778.348484848485	6.6969696969697	4553.51212121212	191.924242424242	69.0121212121212	0	18.5454545454545	11	interval	0	0.0299797395899746	-3.50723347247034	0.650003048702926	54.0544764171661	3.9899923605849	2.66319153181016	4.23178111023415	1.44262297068388	1.94879834035918	31.9371040723982	3.46376847093673	-2.56640857629651	0.0421486178833654	-3.16655338550213	3.82500692187671
LV3003046965	ST8	ST8	21832.3333333333		129.5	73.24	3.13112604739667	mgca_jonkers_2013	4.88503	123105827	60	61272397	60.7	7.57013874582794	21.8323333333333	0.386408249538446	1.73267261179355	1.23159587441753	4.47967016621564	2.09872569382722	1.44388544538916	-0.0359386969413079	16.5242424242424	756.281818181818	2335.02121212121	105.342424242424	60.6030303030303	200.357575757576	10.3333333333333	15582.5818181818	182.760606060606	63.2606060606061	0.384848484848485	57.1363636363637	11	interval	0	0.0218493186362307	-3.8235855416233	-0.275199040383279	3.08750145248084	1.12736217239312	-0.359736593482856	1.73823691184559	0.552871330468049	-0.510656856463953	73.1885630498534	4.2930391662718	0.412996288850926	0.011728518944618	-4.44573188646939	-0.394019140374975
LV3003046966	ST8	ST8	17373		89.5	104.95	4.50516786786849	mgca_jonkers_2013	4.93222	64053262	73.4	33174625	75	7.34478712009314	17.373	1.39339024097344	0.684454372562412	0.163541086002805	1.29660492447087	1.41983737079859	0.926258121734014	-0.0303826811768129	19.0606060606061	732.748484848485	2240.25151515152	104.363636363636	67.9909090909091	193.839393939394	10.2484848484848	15490.0333333333	176.366666666667	57.6969696969697	0.581818181818182	61.0545454545455	11	interval	0	0.0260124810282581	-3.64917881659439	0.234870221308215	3.05732671097197	1.11754091026719	-0.370107814197575	1.53496456745554	0.42850729768189	-0.854424434863254	71.4982259018332	4.26967263683035	0.329044990570312	0.0113858158256599	-4.4753869240926	-0.491828301891324
