state	state_label	index	n	mean	median
1	state_03	OAP	60	389.71928540631	383.842302492555
1	state_03	MGI	60	-13.6665277011827	-13.8155105579643
1	state_03	MFI	60	0.286611658328824	0
1	state_03	DCI	60	-1.73421263949501	-1.57840238509817
1	state_03	MII	60	-2.67546162759169	-2.64518944951203
1	state_03	SRPI	60	-0.655110057573669	-0.631950774960546
2	state_05	OAP	39	248.293724117484	253.289484959074
2	state_05	MGI	39	-13.8155105579643	-13.8155105579643
2	state_05	MFI	39	0.226362824595766	0
2	state_05	DCI	39	-4.01757777094246	-1.89950456188119
2	state_05	MII	39	-2.38124195114628	-2.39503884194253
2	state_05	SRPI	39	-0.521874204290968	-0.512010135646267
3	state_01	OAP	32	415.947082181831	427.793468797749
3	state_01	MGI	32	-6.64294543903836	-5.23282246281576
3	state_01	MFI	32	-2.43224847560692	-2.7557970451318
3	state_01	DCI	32	-1.89975394989611	-1.67291244291459
3	state_01	MII	32	-2.29944086024232	-2.47135989152957
3	state_01	SRPI	32	-0.726987448461552	-0.758516108555186
4	state_02	OAP	48	425.403114717074	436.110426081094
4	state_02	MGI	48	-13.8155105579643	-13.8155105579643
4	state_02	MFI	48	0.561392636485026	0
4	state_02	DCI	48	-1.75274876302781	-1.71736242403113
4	state_02	MII	48	-2.63420245179767	-2.64421060270536
4	state_02	SRPI	48	-0.786429050172339	-0.804193503078277
5	state_04	OAP	35	443.746891062632	445.240571595969
5	state_04	MGI	35	-12.3562056580874	-13.8155105579643
5	state_04	MFI	35	-0.949712856957074	0
5	state_04	DCI	35	-1.90273255329393	-1.80741536630061
5	state_04	MII	35	-2.42990475607207	-2.4098622818825
5	state_04	SRPI	35	-0.803905890388988	-0.806165445907951
